Purple Coordinates;Orange Coordinates
(1172, 61);(867, 596)
(1172, 67);(864, 592)
(1172, 67);(860, 591)
(1174, 68);(854, 591)
(1174, 62);(854, 591)
(1173, 68);(854, 591)
(1174, 68);(856, 593)
(1176, 60);(871, 592)
(1176, 65);(872, 592)
(1176, 56);(876, 593)
(1178, 56);(877, 594)
(1180, 54);(877, 594)
(1180, 52);(878, 598)
(1179, 51);(878, 598)
(1178, 50);(873, 598)
(1175, 50);(872, 597)
(1174, 50);(871, 597)
(1173, 50);(871, 597)
(1172, 55);(867, 597)
(1172, 55);(867, 597)
(1172, 55);(871, 601)
(1174, 57);(873, 601)
(1174, 57);(874, 601)
(1177, 55);(875, 601)
(1174, 59);(875, 601)
(1174, 52);(875, 600)
(1176, 57);(875, 600)
(1176, 58);(874, 600)
(1176, 58);(872, 600)
(1176, 57);(871, 600)
(1176, 57);(871, 600)
(1176, 57);(871, 600)
(1176, 55);(876, 597)
(1176, 54);(876, 597)
(1176, 55);(878, 597)
(1176, 55);(874, 602)
(1180, 51);(876, 602)
(1178, 56);(880, 603)
(1184, 50);(884, 603)
(1186, 56);(891, 599)
(1186, 67);(893, 599)
(1189, 73);(895, 599)
(1189, 74);(895, 599)
(1183, 70);(890, 602)
(1182, 70);(882, 602)
(1181, 68);(875, 601)
(1185, 67);(875, 601)
(1185, 62);(875, 602)
(1180, 54);(873, 602)
(1182, 60);(873, 602)
(1184, 59);(872, 602)
(1184, 59);(872, 603)
(1182, 59);(871, 603)
(1182, 59);(869, 603)
(1184, 59);(867, 603)
(1180, 52);(865, 603)
(1180, 52);(865, 603)
(1180, 52);(872, 603)
(1183, 55);(872, 604)
(1183, 55);(872, 604)
(1184, 53);(872, 604)
(1180, 50);(872, 604)
(1180, 50);(872, 604)
(1180, 50);(865, 604)
(1180, 57);(864, 604)
(1182, 57);(865, 605)
(1182, 57);(865, 605)
(1182, 57);(863, 605)
(1182, 57);(863, 605)
(1182, 57);(865, 604)
(1182, 57);(865, 604)
(1180, 57);(865, 604)
(1180, 55);(865, 603)
(1180, 55);(865, 604)
(1180, 55);(864, 604)
(1178, 55);(863, 604)
(1178, 50);(863, 604)
(1180, 50);(863, 604)
(1184, 52);(865, 604)
(1180, 55);(866, 604)
(1180, 55);(866, 603)
(1180, 55);(868, 602)
(1180, 55);(868, 602)
(1180, 55);(868, 602)
(1180, 50);(866, 602)
(1184, 51);(866, 602)
(1180, 54);(865, 602)
(1182, 53);(865, 602)
(1180, 48);(866, 603)
(1182, 48);(867, 603)
(1182, 48);(867, 603)
(1185, 51);(867, 603)
(1180, 48);(867, 603)
(1180, 55);(867, 603)
(1180, 55);(867, 602)
(1180, 55);(866, 603)
(1180, 55);(866, 602)
(1180, 55);(866, 602)
